=== CLASSMENT DES JOUEURS PAR POINTS ===
Position | Nom                     | Équipe    | Total
817     | Pierre Bruno            | Italy    | 5    
818     | Chris Robshaw           | England  | 5    
819     | Eric Miller             | Ireland  | 5    
820     | Gregory Lamboley        | France   | 5    
821     | Nick Timoney            | Ireland  | 5    
822     | Stephane Glas           | France   | 5    
823     | Bryan Redpath           | Scotland | 5    
824     | Dan Robson              | England  | 5    
825     | Pepito Elhorga          | France   | 5    
826     | Ryan Baird              | Ireland  | 5    
827     | Jason White             | Scotland | 5    
828     | Jonny Hill              | England  | 5    
829     | Victor Costello         | Ireland  | 5    
830     | Peter O'Mahony          | Ireland  | 5    
831     | Derek Stark             | Scotland | 5    
832     | Hal Luscombe            | Wales    | 5    
833     | Carlo Festuccia         | Italy    | 5    
834     | Benoit Baby             | France   | 5    
835     | Richard Hibbard         | Wales    | 5    
836     | Fin Baxter              | England  | 5    
837     | Ciaran Frawley          | Ireland  | 5    
838     | Luca Sperandio          | Italy    | 5    
839     | Alessandro Zanni        | Italy    | 5    
840     | Richard Wigglesworth    | England  | 5    
841     | Dwayne Peel             | Wales    | 5    
842     | Matt Fagerson           | Scotland | 5    
843     | Emmanuel Meafou         | France   | 5    
844     | Gabriel Fulcher         | Ireland  | 5    
845     | Mike Blair              | Scotland | 5    
846     | Ben Clarke              | England  | 5    
847     | Paddy Wallace           | Ireland  | 5    
848     | Joe Roberts             | Wales    | 5    
849     | Arthur Vincent          | France   | 5    
850     | Brent Cockbain          | Wales    | 5    
851     | Craig Morgan            | Wales    | 5    
852     | Dan Leavy               | Ireland  | 5    
853     | Scott Murray            | Scotland | 5    
854     | Francesco Mazzariol     | Italy    | 5    
855     | Scott Gray              | Scotland | 5    
856     | Jon Petrie              | Scotland | 5    
857     | Olivier Milloud         | France   | 5    
858     | Ross Vintcent           | Italy    | 5    
859     | Colin Charvis           | Wales    | 5    
860     | Kelly Brown             | Scotland | 5    
861     | Bradley Roberts         | Wales    | 5    
862     | David Odiete            | Italy    | 5    
863     | Chris Jones             | England  | 5    
864     | Jon Welsh               | Scotland | 5    
865     | Jerry Flannery          | Ireland  | 5    
866     | Rob Herring             | Ireland  | 5    
867     | Richard Cockerill       | England  | 5    
868     | Ryan Jones              | Wales    | 5    
869     | Billy Twelvetrees       | England  | 5    
870     | Yoann Maestri           | France   | 5    
871     | Magnus Lund             | England  | 5    
872     | Georges-Henri Colombe   | France   | 5    
873     | Zander Fagerson         | Scotland | 5    
874     | John Murphy             | Ireland  | 5    
875     | Ronnie Eriksson         | Scotland | 5    
876     | Oscar Jegou             | France   | 5    
877     | Gordon Reid             | Scotland | 5    
878     | Noa Nakaitaci           | France   | 5    
879     | David Hilton            | Scotland | 5    
880     | Franck Comba            | France   | 5    
881     | Arthur Lewis            | Wales    | 4    
882     | Daniel Edwards          | Wales    | 4    
883     | Stuart Evans            | Wales    | 4    
884     | Alex Kennedy            | Scotland | 4    
885     | Jeff Probyn             | England  | 4    
886     | Ginger McLoughlin       | Ireland  | 4    
887     | Victor Boffelli         | France   | 4    
888     | Jaques Begu             | France   | 4    
889     | Jean Phliponneau        | France   | 4    
890     | Willie John McBride     | Ireland  | 4    
891     | Alistair McHarg         | Scotland | 4    
892     | Alain Paco              | France   | 4    
893     | Steve Smith             | Ireland  | 4    
894     | Alan Morley             | England  | 4    
895     | Noel Mannion            | Ireland  | 4    
896     | Jack Clarke             | Ireland  | 4    
897     | Arthur Emyr             | Wales    | 4    
898     | Charles Kent            | England  | 4    
899     | Terence Moore           | Ireland  | 4    
900     | Clive Burgess           | Wales    | 4    
901     | Ray McLoughlin          | Ireland  | 4    
902     | Claude Spanghero        | France   | 4    
903     | Terry Kennedy           | Ireland  | 4    
904     | Nigel Heslop            | England  | 4    
905     | Jim Aitken              | Scotland | 4    
906     | Richard Hill            | England  | 4    
907     | Wallace McMaster        | Ireland  | 4    
908     | Paul Arnold             | Wales    | 4    
909     | Walter Spanghero        | France   | 4    
910     | Clive Davis             | Wales    | 4    
911     | Martin Cooper           | England  | 4    
912     | Chris Ralston           | England  | 4    
913     | Francois Sangalli       | France   | 4    
914     | Jim Shanklin            | Wales    | 4    
915     | Philippe Marocco        | France   | 4    
916     | David Shedden           | Scotland | 4    
917     | Mervyn Davies           | Wales    | 4    
918     | John O'Driscoll         | Ireland  | 4    
919     | Robert Clark            | Scotland | 4    
920     | Jean-Martin Etchenique  | France   | 4    
921     | Fran Cotton             | England  | 4    
922     | Philippe Dintrans       | France   | 4    
923     | Pierre Lacans           | France   | 4    
924     | Charlie Faulkner        | Wales    | 4    
925     | Christian Belascain     | France   | 4    
926     | Ian Watkins             | Wales    | 4    
927     | Roger Uttley            | England  | 4    
928     | Fergus Dunlea           | Ireland  | 4    
929     | Phil Matthews           | Ireland  | 4    
930     | Jim Pollock             | Scotland | 4    
931     | Les Keen                | Wales    | 4    
932     | Mike Roberts            | Wales    | 4    
933     | Nigel Horton            | England  | 4    
934     | Barry Nelmes            | England  | 4    
935     | Ciaran Fitzgerald       | Ireland  | 4    
936     | Michael Flynn           | Ireland  | 4    
937     | Alain Carminati         | France   | 4    
938     | Derrick Lee             | Scotland | 4    
939     | Nick Preston            | England  | 4    
940     | Denis McBride           | Ireland  | 4    
941     | Rob Ackerman            | Wales    | 4    
942     | Derek Quinnell          | Wales    | 4    
943     | Ian Forsyth             | Scotland | 4    
944     | Ronald Hannaford        | England  | 4    
945     | John Fitzgerald         | Ireland  | 4    
946     | Francis Haget           | France   | 4    
947     | Tom Smith               | Scotland | 4    
948     | Patrick Mesny           | France   | 4    
949     | Jean-Paul Biemouret     | France   | 4    
950     | Brian Moore             | England  | 4    
951     | Moss Keane              | Ireland  | 4    
952     | Paul Moriarty           | Wales    | 4    
953     | Gerard Cholley          | France   | 4    
954     | Wilson Lauder           | Scotland | 4    
955     | Rhodri Lewis            | Wales    | 4    
956     | Lewis Dick              | Scotland | 4    
957     | Bran McCall             | Ireland  | 4    
958     | Mike Beese              | England  | 4    
959     | Jean-Francois Marchal   | France   | 4    
960     | Gordon Dickson          | Scotland | 4    
961     | Bob Norster             | Wales    | 4    
962     | Andre Dubertrand        | France   | 4    
963     | Andy Robinson           | England  | 4    
964     | Gareth Llewellyn        | Wales    | 4    
965     | Joel Pécune             | France   | 4    
966     | Willie Duggan           | Ireland  | 4    
967     | Seamus Dennison         | Ireland  | 4    
968     | Donal Lenihan           | Ireland  | 4    
969     | Andy Maxwell            | England  | 4    
970     | Staff Jones             | Wales    | 4    
971     | Andy Ripley             | England  | 4    
972     | Alain Guilbert          | France   | 4    
973     | Stack Stevens           | England  | 4    
974     | Frederic Costes         | France   | 4    
975     | Sandy Carmichael        | Scotland | 4    
976     | Gareth Roberts          | Wales    | 4    
977     | Dave Leslie             | Scotland | 4    
978     | John Scott              | England  | 4    
979     | Duncan Madsen           | Scotland | 4    
980     | Bruce Hay               | Scotland | 4    
981     | Nairn MacEwan           | Scotland | 4    
982     | Ray Gravell             | Wales    | 4    
983     | Jim Staples             | Ireland  | 4    
984     | Gary Rees               | England  | 4    
985     | Jack Cantoni            | France   | 4    
986     | Alan Cowman             | England  | 3    
987     | Craig Gower             | Italy    | 3    
988     | Christophe Deylaud      | France   | 3    
989     | Julien Dupuy            | France   | 3    
990     | Richard Astre           | France   | 3    
991     | Ciaran Clarke           | Ireland  | 3    
992     | Paul Griffen            | Italy    | 3    
993     | David Evans             | Wales    | 3    
994     | Richard Cramb           | Scotland | 3    
995     | Ian Smith               | Scotland | 3    
996     | Alex Goode              | England  | 3    
997     | Pierre Pedeutour        | France   | 3    
998     | Colin Stephens          | Wales    | 3    
999     | Scott Spedding          | France   | 3    
1000    | John Robbie             | Ireland  | 3    
1001    | Gerald Martinez         | France   | 3    
1002    | Denis Charvet           | France   | 3    
1003    | Rhys Patchell           | Wales    | 3    
1004    | Ronald Wilson           | Scotland | 3    
1005    | Rory Kockott            | France   | 3    
1006    | Pierre Montlaur         | France   | 2    
1007    | Alex King               | England  | 2    
1008    | Harry Byrne             | Ireland  | 2    
1009    | Jack Carty              | Ireland  | 2    
1010    | Anthony Belleau         | France   | 2    
